Generated image,marthastewart70.png,michaeldouglas80.png,jennaortega20.png,tonyrevolori30.png,applemartin20.png,janefonda80.png,lucyliu50.png,Shakira45.jpg,XiJinping70.png,mindykaling40.png,AndresObrador65.jpg,MatteoRenzi50.png,tony-leung60.jpeg,willowsmith25.jpg,morganfreeman90.png,BarackObama51.jpg,KamalaHarris60.png,kehuyquan50.png,UmbertoBossi80.jpg,BrendaSong35.png,JoeBiden80.jpg,drake35.png,oprah70.png,chrispratt45.png,YounYuhJung75.jpg
Shakira.jpg,False 1.0446167670941788,False 0.9912611913117889,False 0.6796489281843894,False 1.015569367733088,False 0.9292169829678188,False 0.9984872449464322,False 1.0526207078113992,True 0.3667135688055261,False 1.038914326028985,False 0.9166409450887496,False 0.9559295743674564,False 1.101850392431254,False 0.839489989602153,False 0.9371720469787538,False 0.9158398006291368,False 0.6821075883447384,False 1.0620433760061374,False 1.2924509499437378,False 1.1333601129277813,False 0.8428908292138438,False 0.7495263226347455,False 0.9905237744272618,False 0.7492929287798464,False 1.2047620458975596,False 0.9411353637170349
JoeBiden.jpg,False 0.9326756437133785,False 0.9403867657746663,False 0.5393677171552458,False 1.0186733496948348,False 0.8087952247653851,False 0.8089928255753417,False 1.039153626104253,False 0.8088883917682187,False 1.025308620630446,False 1.1560040105172142,False 1.0845405937754116,False 1.146755669067952,False 0.933116029928161,False 0.960352230617936,False 0.9973322875192216,False 1.0514485796041497,False 0.8845360676069876,False 1.0700007532679285,False 0.9468077057437636,False 0.5483177539603998,True 0.29270396674647126,False 0.9141642003549111,False 0.8973431147287927,False 1.0013118596433248,False 1.062931742995196
MindyKaling.jpg,False 1.1207795141849188,False 0.8059470720919616,False 1.0099989916627157,False 0.8081740899860234,False 1.0564012118065598,False 0.8465250221795385,False 1.1110920982059265,False 1.0524099736711903,False 0.7291602101737862,True 0.3344595496668512,False 0.827184792213455,False 0.8418538152796237,False 1.0292449966105088,False 0.906529827383977,False 0.9757982027715878,False 1.118449526007545,False 1.0203719998250858,False 1.1227807328759654,False 0.9255549302363808,False 0.8943581458926243,False 0.7278070365874945,False 0.919963681040399,False 0.7333874911971971,False 1.0937108945398886,False 0.8834085231969313
AppleMartin.jpg,False 0.9530035596629312,False 0.8111997793182688,False 0.9829757629222426,False 0.9995221429504448,False 0.7174319310240043,False 1.1075771116391016,False 1.2164903605483284,False 0.9967629637549293,False 1.121935848140781,False 1.1537745800777357,False 0.8276623820611467,False 0.8133345476527016,False 1.0315700415029685,False 1.1735475458203384,False 0.986299606675606,False 1.1393363694348873,False 1.0426353009628953,False 1.0595023147933218,False 1.083630747300429,False 0.797648052714322,False 0.7398563023517764,False 1.0522625777877654,False 0.9749722648571275,False 1.0992153994897575,False 0.9676165549745808
UmbertoBossi.jpg,False 0.817260888451458,False 0.6298383140141238,False 0.7314491817366997,False 0.9145803775866055,False 0.7381746179652005,False 0.7651029762367048,False 0.9854642291747563,False 0.8354463702394508,False 0.9656795237002244,False 1.0780892982712367,False 0.9834665105071451,False 0.8682060118645701,False 0.7262222208533357,False 0.8823397369401338,False 0.9140183431021679,False 0.8203666434938467,False 0.8551482367081461,False 0.8947551095331657,True 0.3563670937175718,False 0.5392540279009945,False 0.7845256815039291,False 0.960878175623923,False 0.9290162242886967,False 0.9365440313685411,False 0.9484781988504742
Drake.jpg,False 1.0874079555490317,False 1.0443056328588673,False 0.9694158718184258,False 0.8696929105289974,False 1.1355978193037402,False 0.8803493700967491,False 1.0606083489297815,False 0.7129537787269983,False 0.9406129938056227,False 0.8385403233609674,False 1.026785886109103,False 1.2467908881715404,False 0.8994336883841858,False 0.9841369521430274,False 0.984222183428833,False 0.7759550357201273,False 0.985194206513924,False 0.9563785281240667,False 1.1333755548341076,False 0.8339097763448943,False 0.7638397309637672,True 0.3625690749563906,False 0.6732039476021803,False 1.0348235058478632,False 0.9909536143035111
MorganFreeman.jpg,False 1.1493607006668163,False 0.95675043978409,False 0.8437621205981947,False 0.9800329719620818,False 0.9159536440432201,False 0.7705086008474604,False 0.8436982591232809,False 0.8827217588911646,False 0.6425987732901186,False 1.0152384730204544,False 1.0139229389019873,False 0.9915649957252959,False 0.6841013085934506,False 0.8644489200675126,True 0.3581206947714406,False 0.8849713827803528,False 0.720377286191596,False 0.9248675984143346,False 0.7718745281783335,False 0.8025794887126816,False 0.8525971014552571,False 1.14516734342111,False 0.7369055007588659,False 0.8461965644871131,False 0.6822591421461575
XiJinPing.jpg,False 0.8517019726383138,False 0.9110387541453875,False 1.133578874960946,False 1.033598740102663,False 1.0165806596261442,False 0.6354908438064867,False 0.5810672427156969,False 1.0755263846931542,True 0.3728288373277625,False 0.931399816364799,False 0.8249019876816245,False 1.0492703446366707,False 0.5357875956934354,False 1.1136300933102414,False 0.8093602089278358,False 0.8964370909239937,False 0.7577129693196016,False 0.721447066809491,False 0.9979761058806668,False 0.6465352759968768,False 0.7948294983960257,False 1.064042675115327,False 0.952180577372252,False 0.9408613120380013,False 0.55751186878665053
YounYuhJung.jpg,False 0.9558318008294825,False 0.8957146580599716,False 0.9464091800410042,False 0.8411683081914042,False 0.9187306532553005,False 0.8771535727854388,False 0.6470572943043436,False 0.8788715064650707,False 0.8212134510432119,False 0.9692393238168523,False 1.0589783055697428,False 0.9787815560599749,False 0.7029755763465383,False 0.9991665198823717,False 1.0260400912478218,False 0.9266579670292612,False 0.9364306400728523,False 0.9064817009287258,False 0.9776407569179454,False 0.5002950409220953,False 0.589320300521051,False 0.7393379146955142,False 0.9498568900127089,False 1.031585912197581,True 0.3405943901642676
KeHuyQuan.jpg,False 1.0119223676446663,False 0.8612238280335482,False 1.1429283107667445,False 0.7838347718800978,False 0.8873582102574548,False 0.8343746832016847,False 0.6354482530258154,False 1.1538226136157685,False 0.6740060984631591,False 0.9840444118589314,False 1.0057627551716062,False 0.7559093369680976,False 0.64061316100090375,False 1.103476730588987,False 1.0388815327417409,False 0.925110346505379,False 0.9928988068166337,False 0.6853846661917034,False 1.0543049184053916,False 0.7708978397611952,False 0.7842596848493824,False 1.256977916801808,False 0.849617164106822,False 0.8660461207704144,False 0.66737603236281333
