Generated image,marthastewart70.png,michaeldouglas80.png,jennaortega20.png,tonyrevolori30.png,applemartin20.png,janefonda80.png,lucyliu50.png,Shakira45.jpg,XiJinping70.png,mindykaling40.png,AndresObrador65.jpg,MatteoRenzi50.png,tony-leung60.jpeg,willowsmith25.jpg,morganfreeman90.png,BarackObama51.jpg,KamalaHarris60.png,kehuyquan50.png,UmbertoBossi80.jpg,BrendaSong35.png,JoeBiden80.jpg,drake35.png,oprah70.png,chrispratt45.png,YounYuhJung75.jpg
AndresObrador.jpg,0.2897,0.0963,0.0871,0.454,0.083,0.0916,0.0942,0.1612,0.0945,0.5127,0.7726,0.0935,0.5779,0.3747,0.0928,0.37,0.3695,0.3806,0.2339,0.3226,0.0817,0.1449,0.4175,0.0711,0.0998
AppleMartin.jpg,0.4506,0.2994,0.0987,0.1908,0.8684,0.1296,0.079,0.0975,0.3403,0.2485,0.2448,0.4815,0.1771,0.2045,0.3076,0.3115,0.1906,0.0851,0.159,0.4446,0.1956,0.0898,0.0852,0.0618,0.0869
BarackObama.jpg,0.0841,0.5022,0.2365,0.258,0.0978,0.3598,0.32,0.3473,0.1272,0.5574,0.0912,0.0956,0.0943,0.3965,0.337,0.7093,0.0923,0.0926,0.4382,0.0983,0.0825,0.4227,0.5678,0.4772,0.0807
BrendaSong.jpg,0.0925,0.2642,0.2724,0.0836,0.0715,0.0902,0.0653,0.1088,0.5261,0.0904,0.15,0.0995,0.0992,0.4112,0.4172,0.0955,0.1355,0.0849,0.0932,0.9567,0.0928,0.1459,0.3014,0.1002,0.4784
ChrisPratt.jpg,0.0737,0.2695,0.5548,0.0803,0.0937,0.134,0.095,0.0909,0.1277,0.0946,0.0729,0.0969,0.0991,0.1445,0.0997,0.5943,0.2358,0.0996,0.0518,0.2086,0.5079,0.1607,0.2357,0.9928,0.0956
Drake.jpg,0.1588,0.0837,0.2341,0.0806,0.2844,0.0968,0.0911,0.1046,0.0879,0.1543,0.4031,0.0807,0.1851,0.2558,0.0871,0.5265,0.1381,0.0965,0.088,0.4707,0.0979,0.9584,0.5538,0.1299,0.0711
JaneFonda.jpg,0.0978,0.0994,0.1725,0.1414,0.0998,0.7586,0.0879,0.0778,0.0832,0.6131,0.0853,0.5518,0.0716,0.3079,0.0825,0.0764,0.0929,0.2044,0.0967,0.0816,0.0951,0.0804,0.5089,0.0786,0.0892
JennaOrtega.jpg,0.1367,0.0952,0.949,0.0845,0.0832,0.5309,0.1781,0.5309,0.494,0.1955,0.1323,0.0957,0.088,0.5202,0.0785,0.0987,0.5484,0.1917,0.098,0.0989,0.0769,0.0999,0.1467,0.0928,0.2525
JoeBiden.jpg,0.0915,0.2954,0.2881,0.096,0.0947,0.2332,0.4382,0.08,0.0777,0.1153,0.2796,0.0967,0.0817,0.0772,0.4024,0.229,0.935,0.3297,0.0824,0.3514,0.5292,0.0996,0.404,0.1296,0.0923
KamalaHarris.jpg,0.2312,0.2367,0.5476,0.0894,0.1766,0.1264,0.0925,0.5529,0.0865,0.0965,0.1,0.0921,0.0858,0.56,0.0936,0.5009,0.8452,0.0906,0.0819,0.0883,0.0995,0.4861,0.5487,0.4866,0.095
KeHuyQuan.jpg,0.1619,0.0865,0.1679,0.101,0.0753,0.0689,0.2123,0.1387,0.3955,0.0956,0.2374,0.3153,0.5479,0.2218,0.5371,0.0931,0.3601,0.6175,0.0922,0.0903,0.0905,0.0921,0.479,0.1052,0.5507
LucyLiu.jpg,0.0937,0.0901,0.0909,0.3003,0.0798,0.1144,0.9543,0.2433,0.0978,0.4168,0.0719,0.0925,0.429,0.1818,0.0914,0.4023,0.1781,0.5485,0.0948,0.3945,0.0786,0.3516,0.5546,0.0699,0.4014
MarthaStewart.jpg,0.8634,0.0968,0.0761,0.1098,0.6556,0.0935,0.0721,0.0896,0.2725,0.0901,0.2061,0.3805,0.0895,0.4167,0.0905,0.0981,0.0729,0.3351,0.5168,0.0766,0.4242,0.097,0.0897,0.0965,0.0939
MatteoRenzi.jpg,0.1134,0.0848,0.0853,0.5633,0.0989,0.2105,0.2581,0.078,0.0749,0.3604,0.0911,0.7563,0.0827,0.0886,0.0915,0.2135,0.4141,0.0884,0.0844,0.0751,0.0971,0.2639,0.1605,0.0933,0.0754
MichaelDouglas.jpg,0.0935,0.769,0.4208,0.0824,0.0887,0.1643,0.1203,0.1836,0.0866,0.5221,0.0857,0.0695,0.0961,0.0929,0.4405,0.424,0.0896,0.073,0.0742,0.0913,0.4545,0.0952,0.5006,0.1944,0.0829
MindyKaling.jpg,0.0775,0.3234,0.1397,0.3606,0.0999,0.0856,0.0898,0.1988,0.3445,0.9608,0.0592,0.1596,0.1727,0.1848,0.1369,0.5519,0.0975,0.0949,0.1448,0.5139,0.0835,0.1218,0.6168,0.2157,0.4068
MorganFreeman.jpg,0.0886,0.0937,0.3706,0.5168,0.0891,0.1753,0.0749,0.0949,0.0899,0.0994,0.2217,0.081,0.3225,0.0989,0.9908,0.5602,0.3558,0.0832,0.0795,0.1857,0.0881,0.0895,0.378,0.5162,0.1413
Oprah.jpg,0.0873,0.0984,0.5215,0.1707,0.0902,0.2139,0.091,0.3508,0.3389,0.3018,0.2677,0.0819,0.3409,0.0984,0.574,0.5546,0.2964,0.0979,0.0935,0.3687,0.0961,0.0963,0.948,0.0752,0.0939
Shakira.jpg,0.0881,0.1037,0.6594,0.0904,0.1455,0.3764,0.0873,0.8162,0.0975,0.4842,0.1862,0.1528,0.151,0.3283,0.0955,0.443,0.3443,0.0798,0.1912,0.0947,0.0942,0.3408,0.5336,0.0956,0.1772
TonyLeung.jpg,0.0845,0.0971,0.0929,0.5788,0.0845,0.0866,0.2129,0.0979,0.0955,0.4441,0.29,0.0659,0.9921,0.0996,0.0968,0.5726,0.4605,0.605,0.3341,0.551,0.3868,0.1982,0.1749,0.2279,0.0969
TonyRevelori.jpg,0.2105,0.1531,0.388,0.6504,0.0849,0.0836,0.4067,0.5066,0.0989,0.0728,0.2028,0.0901,0.091,0.2727,0.1113,0.886,0.1629,0.5709,0.3082,0.0876,0.2433,0.1603,0.4551,0.094,0.0647
UmbertoBossi.jpg,0.238,0.2487,0.0821,0.4065,0.237,0.1274,0.0938,0.2658,0.0882,0.0934,0.0986,0.12,0.2607,0.2551,0.0872,0.0772,0.3047,0.0749,0.8364,0.0748,0.4275,0.0868,0.0863,0.0672,0.1761
