Generated image,lucyliu20.png,XiJinping30.png,morganfreeman20.png,BrendaSong15.png,YounYuhJung20.jpg,kehuyquan10.png,mindykaling10.png,AndresObrador20.png,AppleMartin10.jpeg,jennaortega10.png,BarackObama6.jpg,michaeldouglas20.png,jane fonda25.png,MatteoRenzi15.png,UmbertoBossi50.jpg,marthastewart30.png,TonyLeung20.jpg,joebiden25.png,Shakira15.png,chrispratt13.png,drake10.png,KamalaHarris30.jpg,tonyrevolori7.png,willowsmith5.jpg,oprah10.png
ChrisPratt.jpg,False 1.2022212312053735,False 1.0281028503349698,False 0.8038956994311592,False 0.9245682652086661,False 0.8683804198284576,False 0.6935635252567245,False 0.9545702270009148,False 0.7423217902296821,False 0.9366536720524055,False 0.697272202428198,False 0.8490013455663659,False 1.0921913428805172,False 0.7055818321401981,False 0.8512506094531018,False 1.1467672947687417,False 1.2696817986841484,False 0.9660333772205081,False 0.7853765339032728,False 0.9962914358570065,False 0.5274085887240273,False 0.8366987964183394,False 1.0843869229654644,False 0.7392684625184648,False 0.9246234141031221,False 0.8198120894614955
JoeBiden.jpg,False 0.8762753376433774,False 0.9491212345533943,False 1.0786514197745676,False 0.6340869276963159,False 0.8454640757574519,False 0.741175418832721,False 0.900275505962403,False 1.1060949482588178,False 1.0467913344359523,False 0.5742662201314657,False 0.7845036638330528,False 1.2924417478301906,False 0.8516371257501433,False 0.7977914612629324,False 0.9264098391737354,False 0.9506320841289075,False 0.8509136782225458,False 0.730824018912057,False 0.9902554483924985,False 1.0509530521249677,False 1.0005116790572979,False 0.9531799922186714,False 0.994720883378219,False 0.9691128947763659,False 0.9164801721869649
KamalaHarris.jpg,False 0.8418806771414938,False 0.7990518931933387,False 0.8362824776068665,False 0.7733626505841249,False 0.6716273816212184,False 0.8909806665228004,False 0.8445645312448561,False 1.134335113349084,False 1.1515174694393155,False 0.837643208946719,False 0.9513498766816334,False 0.9858250577429427,False 0.7692726410231457,False 1.0186271185657811,False 0.7435223440631806,False 0.9936222464040146,False 1.1092841817168184,False 0.7853133293465648,False 0.8211335389489045,False 0.9851374452502529,False 0.9558908925635105,True 0.4989705079484386,False 0.9327958700374946,False 1.1088743947379598,False 0.9778542367184184
YounYuhJung.jpg,False 0.6106542852181285,False 0.7345568151036199,False 0.8500210765042612,False 0.7301238360348941,True 0.2636009503045663,False 0.8310602764867878,False 0.9398993630133473,False 1.0468606484415797,False 0.9183685440710418,False 0.6606506747871006,False 0.9767304179028816,False 1.1131680244835742,False 0.9685232087774673,False 1.0146068147371334,False 1.0569511583131528,False 1.1404602995414344,False 0.8480756125971254,False 0.9145032503978049,False 1.074866392697547,False 0.9585451481738683,False 1.093841932933069,False 1.0847314794715879,False 0.8527281574278014,False 1.1390903216353958,False 0.8241692530742001
WillowSmith.jpg,False 1.029796602285474,False 1.04663751529699,False 0.9076892638284872,False 0.6730772566887362,False 0.9613446412183491,False 1.0632827263781301,False 0.6082270105159584,False 0.8804121231619305,False 1.101739408533401,False 0.702385344225191,False 0.7597951810073977,False 0.9439115161250553,False 0.8863225613280006,False 1.0557414924102098,False 1.0776481906471966,False 1.173945302649285,False 1.0350961157009029,False 1.044593862537155,False 0.7657462354855795,False 0.8479220932894641,False 0.7834695694155159,False 0.7698608161291512,False 0.8334924419877714,True 0.35791654381292626,False 0.6969886007271352
MatteoRenzi.jpg,False 1.2553085474338754,False 1.1242765398460708,False 0.8983960161700513,False 1.104995297388295,False 0.8630609022307953,False 0.8956606543380732,False 1.0155406901389128,False 0.9211609217489635,False 0.9710642960192708,False 0.9697134744500315,False 1.0517577070837474,False 0.9819934414340954,False 1.1102863039947106,False 0.5210749177599102,False 1.0532326939197187,False 1.09888770566556,False 1.0504501633624717,False 0.7968353133420315,False 1.077398456291223,False 0.9555242917363194,False 1.0463985519082726,False 1.1675637806235772,False 0.9673724917258056,False 1.3030139724849625,False 0.8854118992958429
LucyLiu.jpg,True 0.4064394442931577,False 0.5613974517784373,False 0.8533952135216455,False 0.6835177998691142,True 0.4830691538100718,False 0.6176405984700629,False 1.0280761404915897,False 1.033029043239721,False 1.018910097084605,False 0.77448541313237,False 0.8889592866706479,False 0.8623750899477249,False 0.9641946013940513,False 1.031827541201596,False 1.021626497414817,False 0.9273739187857285,False 0.6766311658893214,False 0.8435446358123428,False 1.0371902822088954,False 1.0991076464720528,False 1.209508017514361,False 1.0422063326599007,False 0.8501817580207327,False 1.0411044088326005,False 0.9108985640006372
Drake.jpg,False 1.1670126992928875,False 0.8331222130621889,False 0.9349528906141155,False 0.8934606735320059,False 0.9653232225891708,False 0.9060048834310606,False 0.6186930349991093,False 0.7728672956575661,False 1.1552867763615546,False 0.7121789856516669,False 0.7600737917141309,False 1.020374629150529,False 0.9461116221981855,False 1.1329983837900353,False 1.2926700862486498,False 1.1750436467665253,False 0.8671539624110242,False 0.8626807031100047,False 0.9200017264534818,False 0.8379228925309343,True 0.26161688673053596,False 0.9000013301815448,False 0.6292745757507473,False 0.794333328071038,False 0.5945388191559404
MichaelDouglas.jpg,False 1.2814744767540935,False 0.9594336881736132,False 1.1971213788175616,False 1.2155294170653401,False 1.2548905193095048,False 0.8059640549148193,False 0.955778999002412,False 0.8949727308597207,False 0.7834038400983601,False 0.8732123590887773,False 1.0010231926402962,False 0.821743047781793,False 1.0884937020774283,False 0.8733393890993033,False 1.0263543547290839,False 1.2787096091921966,False 1.1396404528805253,False 1.0055775150944304,False 1.1607953836835416,False 0.9130298021063543,False 1.2096010754675364,False 1.1185981920379813,False 0.943686924281526,False 1.0242235976727072,False 1.1639743654977213
MindyKaling.jpg,False 1.1805772298761017,False 0.8892302124933684,False 1.1094259031214342,False 1.0232774766513308,False 0.8185292861515442,False 0.9492096902144067,True 0.313924578524743,False 0.8552300937647362,False 1.105467432628956,False 0.7298703257097476,False 0.9628640526990383,False 0.8648069475561942,False 0.6028993536698415,False 0.8596524128143644,False 1.1893208100133963,False 1.0753468168779288,False 1.1363209907012428,False 1.2173768997610868,False 0.7454103137896524,False 0.8225527714542654,False 0.7192271085579265,False 0.9329483847570194,False 0.6329503998271822,False 0.9997773005573299,False 0.9787421773808478
