Generated image,lucyliu20.png,XiJinping30.png,morganfreeman20.png,BrendaSong15.png,YounYuhJung20.jpg,kehuyquan10.png,mindykaling10.png,AndresObrador20.png,AppleMartin10.jpeg,jennaortega10.png,BarackObama6.jpg,michaeldouglas20.png,jane fonda25.png,MatteoRenzi15.png,UmbertoBossi50.jpg,marthastewart30.png,TonyLeung20.jpg,joebiden25.png,Shakira15.png,chrispratt13.png,drake10.png,KamalaHarris30.jpg,tonyrevolori7.png,willowsmith5.jpg,oprah10.png
AndresObrador.jpg,0.0815,0.0926,0.2147,0.3181,0.0845,0.0918,0.0963,0.8931,0.0891,0.5638,0.0972,0.0927,0.0966,0.0865,0.3703,0.0934,0.544,0.4014,0.4407,0.1447,0.2295,0.073,0.099,0.0993,0.1321
AppleMartin.jpg,0.0763,0.0908,0.554,0.0812,0.0798,0.0827,0.3413,0.084,0.9671,0.0703,0.1929,0.3802,0.5409,0.0878,0.2924,0.5514,0.0814,0.0872,0.0992,0.1372,0.0917,0.0947,0.0901,0.2111,0.3301
BarackObama.jpg,0.2589,0.0994,0.5661,0.4187,0.0926,0.2018,0.3199,0.0868,0.4135,0.4425,0.7722,0.0947,0.0853,0.0945,0.0776,0.4069,0.5547,0.1955,0.488,0.4406,0.2947,0.0904,0.0898,0.1041,0.576
BrendaSong.jpg,0.0921,0.4083,0.5274,0.9484,0.0803,0.4044,0.5506,0.3776,0.5721,0.0938,0.242,0.0979,0.085,0.0821,0.0991,0.0888,0.0976,0.1825,0.092,0.0963,0.2709,0.0904,0.3352,0.093,0.0998
ChrisPratt.jpg,0.0888,0.099,0.5006,0.2612,0.0894,0.3872,0.1936,0.2157,0.0917,0.6279,0.1963,0.213,0.3536,0.4462,0.0792,0.0925,0.3002,0.0945,0.0855,0.7347,0.1829,0.2411,0.0954,0.0862,0.0978
Drake.jpg,0.0851,0.2041,0.3203,0.1223,0.0804,0.4409,0.5762,0.078,0.0997,0.5677,0.5149,0.0991,0.268,0.099,0.1399,0.0898,0.1308,0.3231,0.1297,0.5052,0.8195,0.4384,0.0893,0.5741,0.2571
JaneFonda.jpg,0.1658,0.0878,0.2194,0.0776,0.0973,0.0842,0.0933,0.249,0.1354,0.598,0.0976,0.2488,0.6898,0.3531,0.0901,0.0815,0.0865,0.288,0.0962,0.3064,0.1053,0.333,0.0788,0.4921,0.148
JennaOrtega.jpg,0.0878,0.0883,0.3854,0.0812,0.0963,0.1217,0.0872,0.09,0.0807,0.9447,0.0815,0.0806,0.5021,0.5072,0.0887,0.0761,0.0869,0.1896,0.462,0.5621,0.0823,0.3966,0.5543,0.1031,0.0979
JoeBiden.jpg,0.1476,0.0764,0.0738,0.0935,0.0874,0.0765,0.0948,0.0814,0.4308,0.0759,0.0804,0.0929,0.0866,0.0705,0.0982,0.087,0.0963,0.5226,0.0795,0.0774,0.0976,0.0934,0.0858,0.0926,0.0863
KamalaHarris.jpg,0.4095,0.089,0.0927,0.1297,0.0946,0.3754,0.0988,0.0903,0.0942,0.388,0.0871,0.0651,0.0869,0.5236,0.0947,0.1831,0.0909,0.4677,0.2367,0.0802,0.5642,0.8599,0.1751,0.2916,0.0895
